archetype,games,observed_wins,observed_losses,observed_wr,expected_wins,expected_losses,expected_wr,residual
Selesnya Ouroboroid,17,14,3,0.8235294117647058,8.924013641040638,8.075986358959362,0.5249419788847434,0.2985874328799625
Boros Dragons,14,9,5,0.6428571428571429,6.169161403342135,7.830838596657865,0.4406543859530096,0.2022027569041333
Bant Rhythm,20,13,7,0.65,10.607504847209707,9.392495152790293,0.5303752423604854,0.11962475763951463
Selesnya Landfall,103,66,37,0.6407766990291263,55.26707037117052,47.73292962882948,0.5365734987492283,0.10420320027989793
Mardu Discard,28,17,11,0.6071428571428571,14.189388560252514,13.810611439747486,0.5067638771518755,0.10037897999098155
Mono-Green Landfall,390,220,170,0.5641025641025641,194.3022058558897,195.6977941441103,0.498210784245871,0.06589177985669309
Dimir Excruciator,47,25,22,0.5319148936170213,22.24254978647308,24.75745021352692,0.47324574013772513,0.05866915347929613
Selesnya Rhythm,24,13,11,0.5416666666666666,12.085310413027026,11.914689586972974,0.5035546005427928,0.038112066123873856
Simic Rhythm,8,4,4,0.5,3.838458614634117,4.161541385365883,0.47980732682926464,0.020192673170735365
Izzet Lessons,166,79,87,0.4759036144578313,77.70237813736034,88.29762186263966,0.46808661528530326,0.007816999172528039
Izzet Spellementals,193,98,95,0.5077720207253886,96.66462260935553,96.33537739064447,0.5008529668878525,0.006919053837536104
Izzet Prowess,511,253,258,0.49510763209393344,257.4367632969982,253.56323670300182,0.5037901434383527,-0.008682511344419275
Simic Omniscience,40,20,20,0.5,20.59700372042196,19.40299627957804,0.514925093010549,-0.014925093010549007
Rakdos Discard,14,7,7,0.5,7.376565007440945,6.623434992559055,0.5268975005314961,-0.026897500531496088
Four-Color Control,23,10,13,0.43478260869565216,10.78981805535245,12.21018194464755,0.4691225241457587,-0.03433991545010656
Azorius Tempo,59,27,32,0.4576271186440678,29.48693173515469,29.51306826484531,0.49977850398567275,-0.04215138534160495
Jeskai Control,92,41,51,0.44565217391304346,47.347049014815035,44.652950985184965,0.5146418371175547,-0.06898966320451128
Sultai Control,40,19,21,0.475,21.952975943094533,18.047024056905467,0.5488243985773633,-0.07382439857736334
Bant Omniscience,4,2,2,0.5,2.304514727754375,1.6954852722456248,0.5761286819385938,-0.07612868193859379
Golgari Midrange,65,26,39,0.4,30.99583039341451,34.00416960658549,0.47685892912945405,-0.07685892912945402
Four-Color Elementals,30,12,18,0.4,14.583203681547221,15.416796318452779,0.48610678938490737,-0.08610678938490735
Golgari Control,4,1,3,0.25,1.4375230388300602,2.56247696116994,0.35938075970751504,-0.10938075970751504
Mono-Red Aggro,23,9,14,0.391304347826087,11.640569346656969,11.359430653343031,0.506111710724216,-0.11480736289812904
Azorius Momo,92,36,56,0.391304347826087,48.000408423499074,43.999591576500926,0.5217435698206421,-0.1304392219945551
Dimir Midrange,4,1,3,0.25,1.5515449139068982,2.4484550860931016,0.38788622847672455,-0.13788622847672455
Izzet Maestro,49,17,32,0.3469387755102041,23.787989729934623,25.212010270065377,0.4854691781619311,-0.138530402651727
Bant Airbending,10,4,6,0.4,5.420266282184425,4.579733717815575,0.5420266282184425,-0.14202662821844247
Temur Omniscience,10,3,7,0.3,4.643801077805476,5.356198922194524,0.46438010778054756,-0.16438010778054757
Golgari Kona,3,0,3,0.0,1.0189584141542303,1.9810415858457697,0.33965280471807674,-0.33965280471807674
Temur Lute,4,0,4,0.0,1.4941609831093678,2.505839016890632,0.37354024577734196,-0.37354024577734196
Temur Lessons,2,0,2,0.0,0.8037763834913202,1.19622361650868,0.4018881917456601,-0.4018881917456601
Boros Discard,3,0,3,0.0,1.3376815906783461,1.6623184093216539,0.4458938635594487,-0.4458938635594487
