match_id,round,format,table,player_a_id,player_a_name,player_b_id,player_b_name,result,game_score,player_a_elo_pre,player_a_elo_post,player_a_elo_delta,player_b_elo_pre,player_b_elo_post,player_b_elo_delta
4013698,1,draft,116,07a3r24p,Joshua Saruga,pley1pk6,Julien Henry,L,1-2,1907.07,1891.02,-16.05,2014.24,2030.3,16.06
4013627,1,draft,45,0qivecmh,"Martin, Adria",br2ww8kq,Jack Yudt,L,1-2,2000.64,,,1795.33,1817.02,21.69
4013617,1,draft,35,0scosskv,Matheus Crusius,7r07ic8h,Maciej Jezyna,L,0-2,1862.17,1842.23,-19.94,1755.09,1775.03,19.94
4013644,1,draft,62,0uqxbitj,Takeshi Ozawa,37okj715,Lukas Schwendinger,W,2-1,1955.18,1970.62,15.44,1813.79,1798.36,-15.43
4013712,1,draft,130,10bptxxv,Aras Senyuz,6b7njfgs,Ethan Hollen,W,2-0,1832.34,1848.15,15.81,1712.07,1696.26,-15.81
4013662,1,draft,80,10u7a2gt,Shinnosuke Hando,5h9pep1a,Jacob Mitchell-Rabaey,L,1-2,1932.39,1913.56,-18.83,1886.96,1905.78,18.82
4013722,1,draft,140,12p06h4s,Shota Yasooka,9am8loyq,Reid Duke,L,1-2,1972.56,1958.43,-14.13,2187.92,2202.05,14.13
4013609,1,draft,27,14bbh8fs,Raul Porojan,ympa2ttn,Davor Detecnik,L,1-2,1845.51,1830.97,-14.54,2037.61,2052.15,14.54
4013588,1,draft,6,1fsar1uc,Paul Gabat,rq45xp25,"Bertram, Timo",L,0-2,1601.45,1589.25,-12.2,1931.61,,
4013622,1,draft,40,1ibvz7s1,"Horiuchi, Makoto",sbxfa2dv,Atsuya Okuno,L,0-2,2040.82,,,1818.0,1840.0,22.0
4013711,1,draft,129,1mghnbu5,Mateo Ferreira,zzta7cxz,Ryan Gassaway,W,2-0,1957.15,1971.64,14.49,1762.35,1747.86,-14.49
4013606,1,draft,24,1mgu2l1k,Adam Edelson,wnvbye9w,Yuxuan Zhang,W,2-1,2085.97,2097.26,11.29,1699.74,1688.45,-11.29
4013675,1,draft,93,1o2chbpk,Neil Estrada,6vhjryk2,Philip Silberman,L,0-2,2077.5,2058.24,-19.26,2007.98,2027.25,19.27
4013702,1,draft,120,1yfv22vg,Muhan Yu,tdoka6qb,Truong Hai Nguyen,W,2-0,2036.69,2051.67,14.98,1869.32,1854.35,-14.97
4013594,1,draft,12,222vn7x7,Christian Baker,ktk9r9kq,Wappa Hamada,W,2-1,1819.86,1839.39,19.53,1903.52,1884.0,-19.52
4013725,1,draft,143,25hfvyjf,"Torrico, Carlos",6yez5lpc,Yang He,W,2-0,1859.51,,,1907.57,1888.69,-18.88
4013669,1,draft,87,282fp22n,"Inglis, David [USA]",kphgot73,Brendan Hsu,W,2-0,2015.65,,,1828.94,1814.31,-14.63
4013618,1,draft,36,2adkhpoc,Vincent Choy,upnklhaj,Aidan Mirabelli,L,0-2,1676.62,1666.27,-10.35,2124.3,2134.65,10.35
4013683,1,draft,101,2pjv6j9n,"Del Pivo, Marco",vmzl2n0r,Rodrigo Pinheiro,L,1-2,2034.2,,,1866.28,1887.31,21.03
