,Izzet Prowess,Mono-Green Landfall,Izzet Spellementals,Izzet Lessons,Selesnya Landfall,Azorius Momo,Jeskai Control,Golgari Midrange,Azorius Tempo,Izzet Maestro,Other
Izzet Prowess,—,38% (56-93),44% (28-36),53% (28-25),37% (13-22),59% (13-9),77% (20-6),72% (13-5),47% (9-10),75% (12-4),56% (61-48)
Mono-Green Landfall,62% (93-56),—,61% (22-14),61% (19-12),35% (9-17),52% (11-10),47% (9-10),50% (4-4),50% (4-4),67% (2-1),53% (47-42)
Izzet Spellementals,56% (36-28),39% (14-22),—,67% (10-5),46% (6-7),86% (6-1),45% (5-6),50% (4-4),33% (1-2),56% (5-4),41% (11-16)
Izzet Lessons,47% (25-28),39% (12-19),33% (5-10),—,60% (3-2),44% (4-5),50% (4-4),60% (3-2),71% (5-2),71% (5-2),50% (13-13)
Selesnya Landfall,63% (22-13),65% (17-9),54% (7-6),40% (2-3),—,60% (3-2),100% (2-0),67% (2-1),75% (3-1),—,80% (8-2)
Azorius Momo,41% (9-13),48% (10-11),14% (1-6),56% (5-4),40% (2-3),—,33% (1-2),75% (3-1),0% (0-2),50% (1-1),24% (4-13)
Jeskai Control,23% (6-20),53% (10-9),55% (6-5),50% (4-4),0% (0-2),67% (2-1),—,67% (4-2),50% (1-1),100% (2-0),46% (6-7)
Golgari Midrange,28% (5-13),50% (4-4),50% (4-4),40% (2-3),33% (1-2),25% (1-3),33% (2-4),—,100% (1-0),100% (1-0),45% (5-6)
Azorius Tempo,53% (10-9),50% (4-4),67% (2-1),29% (2-5),25% (1-3),100% (2-0),50% (1-1),0% (0-1),—,0% (0-1),42% (5-7)
Izzet Maestro,25% (4-12),33% (1-2),44% (4-5),29% (2-5),—,50% (1-1),0% (0-2),0% (0-1),100% (1-0),—,50% (4-4)
Other,44% (48-61),47% (42-47),59% (16-11),50% (13-13),20% (2-8),76% (13-4),54% (7-6),55% (6-5),58% (7-5),50% (4-4),—
