,Izzet Prowess,Mono-Green Landfall,Izzet Spellementals,Izzet Lessons,Selesnya Landfall,Azorius Momo,Jeskai Control,Golgari Midrange,Azorius Tempo,Izzet Maestro,Other
Izzet Prowess,—,56-93,28-36,28-25,13-22,13-9,20-6,13-5,9-10,12-4,61-48
Mono-Green Landfall,93-56,—,22-14,19-12,9-17,11-10,9-10,4-4,4-4,2-1,47-42
Izzet Spellementals,36-28,14-22,—,10-5,6-7,6-1,5-6,4-4,1-2,5-4,11-16
Izzet Lessons,25-28,12-19,5-10,—,3-2,4-5,4-4,3-2,5-2,5-2,13-13
Selesnya Landfall,22-13,17-9,7-6,2-3,—,3-2,2-0,2-1,3-1,0-0,8-2
Azorius Momo,9-13,10-11,1-6,5-4,2-3,—,1-2,3-1,0-2,1-1,4-13
Jeskai Control,6-20,10-9,6-5,4-4,0-2,2-1,—,4-2,1-1,2-0,6-7
Golgari Midrange,5-13,4-4,4-4,2-3,1-2,1-3,2-4,—,1-0,1-0,5-6
Azorius Tempo,10-9,4-4,2-1,2-5,1-3,2-0,1-1,0-1,—,0-1,5-7
Izzet Maestro,4-12,1-2,4-5,2-5,0-0,1-1,0-2,0-1,1-0,—,4-4
Other,48-61,42-47,16-11,13-13,2-8,13-4,7-6,6-5,7-5,4-4,—
