my_arch,Izzet Prowess,Mono-Green Landfall,Izzet Spellementals,Izzet Lessons,Selesnya Landfall,Azorius Momo,Jeskai Control,Golgari Midrange,Azorius Tempo,Izzet Maestro,Other,Total
Izzet Prowess,,0.37583892617449666,0.4375,0.5283018867924528,0.37142857142857144,0.5909090909090909,0.7692307692307693,0.7222222222222222,0.47368421052631576,0.75,0.5596330275229358,0.4966442953020134
Mono-Green Landfall,0.6241610738255033,,0.6111111111111112,0.6129032258064516,0.34615384615384615,0.5238095238095238,0.47368421052631576,0.5,0.5,0.6666666666666666,0.5280898876404494,0.551440329218107
Izzet Spellementals,0.5625,0.3888888888888889,,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.45454545454545453,0.5,0.3333333333333333,0.5555555555555556,0.4074074074074074,0.5066666666666667
Izzet Lessons,0.4716981132075472,0.3870967741935484,0.3333333333333333,,0.6,0.4444444444444444,0.5,0.6,0.7142857142857143,0.7142857142857143,0.5,0.47674418604651164
Selesnya Landfall,0.6285714285714286,0.6538461538461539,0.5384615384615384,0.4,,0.6,1.0,0.6666666666666666,0.75,,0.8,0.6355140186915887
Azorius Momo,0.4090909090909091,0.47619047619047616,0.14285714285714285,0.5555555555555556,0.4,,0.3333333333333333,0.75,0.0,0.5,0.23529411764705882,0.39361702127659576
Jeskai Control,0.23076923076923078,0.5263157894736842,0.5454545454545454,0.5,0.0,0.6666666666666666,,0.6666666666666666,0.5,1.0,0.46153846153846156,0.44565217391304346
Golgari Midrange,0.2777777777777778,0.5,0.5,0.4,0.3333333333333333,0.25,0.3333333333333333,,1.0,1.0,0.45454545454545453,0.4
Azorius Tempo,0.5263157894736842,0.5,0.6666666666666666,0.2857142857142857,0.25,1.0,0.5,0.0,,0.0,0.4166666666666667,0.4576271186440678
Izzet Maestro,0.25,0.3333333333333333,0.4444444444444444,0.2857142857142857,,0.5,0.0,0.0,1.0,,0.5,0.35294117647058826
Other,0.44036697247706424,0.47191011235955055,0.5925925925925926,0.5,0.2,0.7647058823529411,0.5384615384615384,0.5454545454545454,0.5833333333333334,0.5,,0.49206349206349204
