match_id,round,player_a,archetype_a,elo_a_pre,elo_a_post,player_b,archetype_b,elo_b_pre,elo_b_post,result,game_score
4015232,12,Adrià Martín,Rakdos Discard,1973.59,,Ryan Gassaway,Izzet Prowess,1772.31,1757.94,W,2-0
4015254,12,Matheus Crusius,Mono-Green Landfall,1816.26,1803.03,Eli Kassis,Izzet Spellementals,2083.76,2096.99,L,0-2
4015203,12,Takeshi Ozawa,Sultai Control,1977.62,1959.26,Brennan Roy,Izzet Prowess,1957.9,1976.26,L,0-2
4015225,12,Aras Senyuz,Temur Omniscience,1855.0,1837.8,Yuya Hosokawa,Izzet Lessons,1898.91,1916.11,L,1-2
4015158,12,Shota Yasooka,Izzet Prowess,2097.02,2074.79,Wentong Zhang,Boros Dragons,1860.54,1882.78,L,0-2
4015210,12,Raul Porojan,Selesnya Rhythm,1868.6,1887.84,Kenith Dsouza,Mono-Green Landfall,1936.54,,W,2-1
4015159,12,Mateo Ferreira,Selesnya Landfall,2037.8,2058.4,Paul Green,Mono-Green Landfall,2181.18,2160.58,W,2-1
4015204,12,Adam Edelson,Izzet Prowess,2085.11,2098.35,Jack Yudt,Izzet Lessons,1817.75,1804.51,W,2-1
4015201,12,Muhan Yu,Izzet Prowess,2029.76,2047.15,Michael Byrd,Izzet Prowess,1996.51,,W,2-1
4015217,12,Christian Baker,Izzet Prowess,1869.95,1854.74,Shuhei Nakamura,Sultai Control,2023.97,2039.19,L,0-2
4015234,12,David Inglis,Mono-Green Landfall,1988.44,,Marc Peral,Mono-Green Landfall,1980.31,1962.46,W,2-1
4015240,12,Vincent Choy,Azorius Tempo,1706.12,1727.76,Timo Bertram,Izzet Spellementals,1908.36,,W,2-1
4015220,12,Eleanor Dubreuil,Izzet Maestro,1767.61,1751.27,Jason Reid,Golgari Midrange,1859.18,1875.52,L,1-2
4015154,12,Rui Zhang,Izzet Lessons,2148.58,,Matt Nass,Selesnya Ouroboroid,2111.64,2094.32,W,2-0
4015181,12,Lukas Schwendinger,Mono-Red Aggro,1890.55,1875.78,Collins Mullen,Mono-Green Landfall,2069.81,2084.58,L,1-2
4015165,12,Alex Rohan,Jeskai Control,2131.82,2110.29,Matthew Oomkes,Four-Color Elementals,1935.84,1957.37,L,1-2
4015211,12,Devon Straub,Izzet Prowess,2007.87,2023.12,Brendan Hsu,Golgari Midrange,1855.93,1840.68,W,2-1
4015209,12,Thirawat Chaovarindr,Izzet Prowess,1936.73,1958.21,Eduardo Sajgalik,Simic Omniscience,2130.26,2108.77,W,2-1
4015224,12,Luis Gobern,Dimir Excruciator,1938.35,1922.92,Ben Jones,Jeskai Control,2080.25,,L,0-2
4015219,12,Mae French,Izzet Lessons,2018.61,2037.1,Masahide Moriyama,Izzet Spellementals,2045.23,2026.74,W,2-1
4015171,12,Will Krueger,Izzet Prowess,2122.51,2102.18,Jacob Mitchell-Rabaey,Izzet Prowess,1993.67,2014.01,L,0-2
4015162,12,Edgar Magalhaes,Izzet Prowess,2028.72,2048.38,William Araujo,Izzet Prowess,2120.16,,W,2-0
4015215,12,Yi Yang,Izzet Prowess,1974.18,1991.35,Anthony Cuello,Izzet Prowess,1928.72,1911.55,W,2-1
4015228,12,Steve Gan,Izzet Spellementals,2009.64,2027.56,Julius Fan,Izzet Spellementals,2005.28,1987.36,W,2-0
4015183,12,Nicolás Morales Macaya,Mono-Green Landfall,1747.53,,Arne Huschenbeth,Mono-Green Landfall,2231.48,2241.29,L,1-2
