magic_gg_name,mtgelo_name
Aaron Angeles,"Angeles Servin, Alfredo Aaron"
Jaime Gonzalo,"Benito, Jaime"
William Araujo,"Bossaneli Araujo, William"
Isabel Castillo,"Castillo Santos, Daniela Isabel"
Matt Costa,"Costa, Matthew"
Kenith Dsouza,"D'Souza, Kenith"
Michael Plummer,"DeBenedetto-Plummer, Michael"
Sergio Garcia,"Garcia Gonzalez, Sergio"
Evan Higgins,"Higgins, Evan [USA]"
Horiuchi Makoto,"Horiuchi, Makoto"
David Inglis,"Inglis, David [USA]"
Mauricio Iriarte,"Iriarte Valenzuela, Mauricio"
Charis Kikidis,"Kikidis, Charalampos"
Jorge Lopez,"Lopez, Jorge [MEX]"
Ma Noah,"Ma, Noah"
Carlos Martinez,"Martinez, Carlos [MEX]"
Guilherme Merjam,"Medeiros Merjam, Guilherme"
"Hei Wo, Johnathan Ng","Ng, Hei Wo"
Onoda Kenji,"Onoda, Kenji"
Nick Osterude,"Osterude, Nicholas"
Edgar Rangel,"Rangel Paez, Edgar Emmanuel"
Marcelo Cavalcante,"Rodrigues Cavalcante, Marcelo"
Stefan Schütz,"Schuetz, Stefan"
Jonny Stange,"Stange, Jonathan"
Benjamin Stark,"Stark, Ben S"
Matthew Stefansson,"Stefans, Matthew"
Sebastian Torrico,"Torrico, Carlos"
Tom White,"White, Thomas [ENG]"
Michael NK Young,"Young, Michael M"
Rui Zhang,"Zhang, Rei"
Alex von Stange,"von Stange, Alexander"
